Billing Code,Name,Category
38500,Biopsy or excision of lymph nodes,Laboratory & Diagnostic Tests
19120,Excision Procedures on the Breast,Surgeries & Procedures
20680,Removal of implant,Surgeries & Procedures
29882,"Arthroscopy, knee, surgical",Surgeries & Procedures
60240,Excision Procedures on the Thyroid Gland,Surgeries & Procedures
36561,"Insertion of tunneled centrally inserted central venous access device, with subcutaneous port",Surgeries & Procedures
63030,"Laminotomy hemilaminectomy, with decompression of nerve roots, including partial facetectomy, foraminotomy andor excision of herniated intervertebral disc",Surgeries & Procedures
15839,"Excision, excessive skin and subcutaneous tissue includes lipectomy",Surgeries & Procedures
29826,"Arthroscopy, shoulder, surgical",Surgeries & Procedures
58573,"Laparoscopy, surgical, with total hysterectomy, for uterus greater than 250 g",Surgeries & Procedures
15860,Other Repair Closure Procedures on the Integumentary System,Surgeries & Procedures
63047,"Laminectomy, facetectomy and foraminotomy unilateral or bilateral with decompression of spinal cord, cauda equina andor nerve roots, eg, spinal or lateral recess stenosis, single more vertebral segment",Surgeries & Procedures
22551,Anterior or Anterolateral Approach Technique Arthrodesis Procedures on the Spine Vertebral Column,Surgeries & Procedures
49591,"Repair of anterior abdominal hernias ie, epigastric, incisional, ventral, umbilical, spigelian, any approach ie, open, laparoscopic, robotic, initial",Surgeries & Procedures
55250,Excision Procedures on the Vas Deferens,Surgeries & Procedures
51715,Introduction Procedures on the Bladder,Surgeries & Procedures
20931,Allograft for spine surgery only,Surgeries & Procedures
30520,Repair Procedures on the Nose,Surgeries & Procedures
25608,Open treatment of distal radial intraarticular fracture or epiphyseal separation,Surgeries & Procedures
30140,Excision Procedures on the Nose,Surgeries & Procedures
49652,"Deprecated, Deleted, or Otherwise Missing Code Name",Other
49505,"Repair initial inguinal hernia, age 5 years or older",Surgeries & Procedures
29806,"Arthroscopy, shoulder, surgical",Surgeries & Procedures
60220,"Total thyroid lobectomy, unilateral",Surgeries & Procedures
22845,Anterior instrumentation,Surgeries & Procedures
23615,"Open treatment of proximal humeral surgical or anatomical neck fracture, includes internal fixation, when performed, includes repair of tuberositys, when performed",Surgeries & Procedures
19357,Repair andor Reconstruction Procedures on the Breast,Surgeries & Procedures
55700,"Biopsy, prostate",Laboratory & Diagnostic Tests
15772,Grafting of autologous fat harvested by liposuction technique,Surgeries & Procedures
23120,Claviculectomy,Surgeries & Procedures
0055T,Musculoskeletal System ProceduresServices,Surgeries & Procedures
52235,"Cystourethroscopy, with fulguration andor resection",Surgeries & Procedures
14302,"Adjacent tissue transfer or rearrangement, any area",Surgeries & Procedures
61885,"Insertion or replacement of cranial neurostimulator pulse generator or receiver, direct or inductive coupling",Surgeries & Procedures
29807,"Arthroscopy, shoulder, surgical",Surgeries & Procedures
25609,Open treatment of distal radial intraarticular fracture or epiphyseal separation,Surgeries & Procedures
52000,"EndoscopyCystoscopy, Urethroscopy, Cystourethroscopy Procedures on the Bladder",Surgeries & Procedures
15777,Other Flaps and Grafts Procedures,Surgeries & Procedures
27792,Fracture andor Dislocation Procedures on the Leg Tibia and Fibula and Ankle Joint,Surgeries & Procedures
99152,Moderate Conscious Sedation,Anesthesia Services
49653,"Deprecated, Deleted, or Otherwise Missing Code Name",Other
37221,"Revascularization, endovascular, open or percutaneous, iliac artery",Cardiovascular Procedures
49320,"Laparoscopic Procedures on the Abdomen, Peritoneum, and Omentum",Surgeries & Procedures
64590,Peripheral or gastric neurostimulator pulse generator or receiver,Surgeries & Procedures
28297,"Correction, hallux valgus bunionectomy, with sesamoidectomy",Surgeries & Procedures
G0121,Colorectal cancer screening colonoscopy on individual not meeting criteria for high risk,Laboratory & Diagnostic Tests
23515,Fracture andor Dislocation Procedures on the Shoulder,Surgeries & Procedures
59820,"Treatment of missed abortion, completed surgically",
27822,"Open treatment of trimalleolar ankle fracture, includes internal fixation, when performed, medial andor lateral malleolus",Surgeries & Procedures
42821,Tonsillectomy and adenoidectomy,Surgeries & Procedures
77001,Fluoroscopic Guidance,Imaging & Radiology
23410,"Repair of ruptured musculotendinous cuff eg, rotator cuff open",Surgeries & Procedures
64718,Neuroplasty andor transposition,Surgeries & Procedures
31652,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed",Surgeries & Procedures
43238,Esophagogastroduodenoscopy,Gastroenterology Procedures
14301,"Adjacent tissue transfer or rearrangement, any area",Surgeries & Procedures
49594,"Repair of anterior abdominal hernias ie, epigastric, incisional, ventral, umbilical, spigelian, any approach ie, open, laparoscopic, robotic, initial",Surgeries & Procedures
58671,"Laparoscopy, surgical",Surgeries & Procedures
59812,Abortion Procedures,Surgeries & Procedures
11770,Excision of pilonidal cyst or sinus,Surgeries & Procedures
43248,Esophagogastroduodenoscopy,Gastroenterology Procedures
64561,Percutaneous implantation of neurostimulator electrode array,Surgeries & Procedures
37226,"Revascularization, endovascular, open or percutaneous, femoral, popliteal arterys, unilateral",Cardiovascular Procedures
24342,"Repair, Revision, andor Reconstruction Procedures on the Humerus Upper Arm and Elbow",Surgeries & Procedures
99153,Moderate Conscious Sedation,Anesthesia Services
49585,"Deprecated, Deleted, or Otherwise Missing Code Name",Other
15771,Grafting of autologous fat harvested by liposuction technique,Surgeries & Procedures
57425,EndoscopyLaparascopy Procedures on the Vagina,Surgeries & Procedures
60500,Parathyroidectomy or exploration of parathyroids,Surgeries & Procedures
69631,"Tympanoplasty without mastoidectomy including canalplasty, atticotomy andor middle ear surgery, initial or revision",Surgeries & Procedures
42830,"Adenoidectomy, primary",Surgeries & Procedures
33249,Pacemaker or Implantable Defibrillator,Cardiovascular Procedures
27695,"Repair, primary, disrupted ligament, ankle",Surgeries & Procedures
27650,"Repair, primary, open or percutaneous, ruptured Achilles tendon",Surgeries & Procedures
49593,"Repair of anterior abdominal hernias ie, epigastric, incisional, ventral, umbilical, spigelian, any approach ie, open, laparoscopic, robotic, initial",Surgeries & Procedures
31624,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed",Surgeries & Procedures
43275,Endoscopic Retrograde Cholangiopancreatography ERCP,Gastroenterology Procedures
52353,"Cystourethroscopy, with ureteroscopy andor pyeloscopy",Surgeries & Procedures
58570,"Laparoscopy, surgical, with total hysterectomy, for uterus 250 g or less",Surgeries & Procedures
43276,Endoscopic Retrograde Cholangiopancreatography ERCP,Gastroenterology Procedures
19316,Repair andor Reconstruction Procedures on the Breast,Surgeries & Procedures
25607,Fracture andor Dislocation Procedures on the Forearm and Wrist,Surgeries & Procedures
20690,General Introduction or Removal Procedures on the Musculoskeletal System,Surgeries & Procedures
52352,"Cystourethroscopy, with ureteroscopy andor pyeloscopy",Gastroenterology Procedures
64568,"Open Implantation Neurostimulator Electrodes, Cranial Nerve Vagus Nerve Stimulation",Surgeries & Procedures
31267,"Nasalsinus endoscopy, surgical, with maxillary antrostomy",Surgeries & Procedures
C9600,"Percutaneous transcatheter placement of drug eluting intracoronary stents, with coronary angioplasty when performed single major coronary artery or branch",Cardiovascular Procedures
52240,"Cystourethroscopy, with fulguration andor resection",Surgeries & Procedures
44970,Laparoscopic Procedures on the Appendix,Surgeries & Procedures
19342,Repair andor Reconstruction Procedures on the Breast,Surgeries & Procedures
29883,"Arthroscopy, knee, surgical",Surgeries & Procedures
27524,Fracture andor Dislocation Procedures on the Femur Thigh Region and Knee Joint,Surgeries & Procedures
63650,Neurostimulators Spinal Procedures,Surgeries & Procedures
52351,"Cystourethroscopy, with ureteroscopy andor pyeloscopy",Surgeries & Procedures
57260,Combined anteroposterior colporrhaphy,Surgeries & Procedures
31629,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed",Surgeries & Procedures
63048,"Laminectomy, facetectomy and foraminotomy unilateral or bilateral with decompression of spinal cord, cauda equina andor nerve roots, eg, spinal or lateral recess stenosis, single more vertebral segment",Surgeries & Procedures
50590,Lithotripsy Procedures on the Kidney,Surgeries & Procedures
43775,"Laparoscopy, surgical, gastric restrictive procedure",Surgeries & Procedures
20694,General Introduction or Removal Procedures on the Musculoskeletal System,Surgeries & Procedures
55876,Other Procedures on the Prostate,Surgeries & Procedures
55874,Other Procedures on the Prostate,Surgeries & Procedures
26055,Incision Procedures on the Hand and Fingers,Surgeries & Procedures
58301,Introduction Procedures on the Corpus Uteri,Maternity & Obstetrics
37224,"Revascularization, endovascular, open or percutaneous, femoral, popliteal arterys, unilateral",Cardiovascular Procedures
49592,"Repair of anterior abdominal hernias ie, epigastric, incisional, ventral, umbilical, spigelian, any approach ie, open, laparoscopic, robotic, initial",Surgeries & Procedures
76942,Ultrasonic Guidance Procedures,Imaging & Radiology
27870,Arthrodesis Procedures on the Leg Tibia and Fibula and Ankle Joint,Surgeries & Procedures
27570,Manipulation Procedures on the Femur Thigh Region and Knee Joint,Surgeries & Procedures
43261,Endoscopic Retrograde Cholangiopancreatography ERCP,Gastroenterology Procedures
22552,Anterior or Anterolateral Approach Technique Arthrodesis Procedures on the Spine Vertebral Column,Surgeries & Procedures
27487,"Revision of total knee arthroplasty, with or without allograft",Surgeries & Procedures
38571,"Laparoscopy, surgical",Surgeries & Procedures
58660,"Laparoscopy, surgical",Surgeries & Procedures
93580,Repair of Structural Heart Defect,Cardiovascular Procedures
57520,"Conization of cervix, with or without fulguration, with or without dilation and curettage, with or without repair",Surgeries & Procedures
29822,"Arthroscopy, shoulder, surgical",Surgeries & Procedures
53854,Transurethral destruction of prostate tissue,Surgeries & Procedures
27814,Fracture andor Dislocation Procedures on the Leg Tibia and Fibula and Ankle Joint,Surgeries & Procedures
29999,EndoscopyArthroscopy Procedures on the Musculoskeletal System,Surgeries & Procedures
52005,"Cystourethroscopy, with ureteral catheterization, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service",Surgeries & Procedures
28485,Fracture andor Dislocation Procedures on the Foot and Toes,Surgeries & Procedures
54405,Repair Procedures on the Penis,Surgeries & Procedures
57522,"Conization of cervix, with or without fulguration, with or without dilation and curettage, with or without repair",Surgeries & Procedures
43237,Esophagogastroduodenoscopy,Gastroenterology Procedures
29824,"Arthroscopy, shoulder, surgical",Surgeries & Procedures
13101,"Repair, complex, trunk",Surgeries & Procedures
26735,Fracture andor Dislocation Procedures on the Hand and Fingers,Surgeries & Procedures
20610,"Arthrocentesis, aspiration andor injection",Surgeries & Procedures
63685,Neurostimulators Spinal Procedures,Surgeries & Procedures
24359,"Tenotomy, elbow, lateral or medial eg, epicondylitis, tennis elbow, golfers elbow",Surgeries & Procedures
13102,"Repair, complex, trunk",Surgeries & Procedures
52310,"Cystourethroscopy, with removal of foreign body, calculus, or ureteral stent from urethra or bladder separate procedure",Surgeries & Procedures
37225,"Revascularization, endovascular, open or percutaneous, femoral, popliteal arterys, unilateral",Cardiovascular Procedures
19380,Repair andor Reconstruction Procedures on the Breast,Surgeries & Procedures
25447,"Repair, Revision, andor Reconstruction Procedures on the Forearm and Wrist",Surgeries & Procedures
36821,"Arteriovenous anastomosis, open",Cardiovascular Procedures
23455,"Capsulorrhaphy, anterior",Surgeries & Procedures
27698,"Repair, Revision, andor Reconstruction Procedures on the Leg Tibia and Fibula and Ankle Joint",Surgeries & Procedures
37236,"Transcatheter placement of an intravascular stents except lower extremity arterys for occlusive disease, cervical carotid, extracranial vertebral or intrathoracic carotid, intracranial, or coronary, open more or percutaneous, including radiological supervision and interpretation and including all angioplasty within the same vessel, when performed",Cardiovascular Procedures
27427,"Ligamentous reconstruction augmentation, knee",Surgeries & Procedures
58150,"Total abdominal hysterectomy corpus and cervix, with or without removal of tubes, with or without removal of ovarys",Surgeries & Procedures
49595,"Repair of anterior abdominal hernias ie, epigastric, incisional, ventral, umbilical, spigelian, any approach ie, open, laparoscopic, robotic, initial",Surgeries & Procedures
27422,Reconstruction of dislocating patella,Surgeries & Procedures
11406,"Excision, benign lesion including margins, except skin tag unless listed elsewhere, trunk, arms or legs",Surgeries & Procedures
23700,Manipulation Procedures on the Shoulder,Surgeries & Procedures
27415,"Repair, Revision, andor Reconstruction Procedures on the Femur Thigh Region and Knee Joint",Surgeries & Procedures
28285,"Repair, Revision, andor Reconstruction Procedures on the Foot and Toes",Surgeries & Procedures
52281,Urethra and Bladder Transurethral Surgical Procedures,Surgeries & Procedures
57240,Repair Procedures on the Vagina,Surgeries & Procedures
31653,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed",Surgeries & Procedures
52204,Urethra and Bladder Transurethral Surgical Procedures,Surgeries & Procedures
27829,Fracture andor Dislocation Procedures on the Leg Tibia and Fibula and Ankle Joint,Surgeries & Procedures
37187,Venous Mechanical Thrombectomy Procedures,
21320,Closed treatment of nasal bone fracture,Surgeries & Procedures
27279,Arthrodesis Procedures on the Pelvis and Hip Joint,Surgeries & Procedures
60650,"Laparoscopic Procedures on the Parathyroid, Thymus, Adrenal Glands, Pancreas, and Carotid Body",Surgeries & Procedures
27420,Reconstruction of dislocating patella,Surgeries & Procedures
29880,"Arthroscopy, knee, surgical",Surgeries & Procedures
31253,"Nasalsinus endoscopy, surgical",Surgeries & Procedures
46255,"Hemorrhoidectomy, internal and external, single columngroup",Surgeries & Procedures
42826,"Tonsillectomy, primary or secondary",Surgeries & Procedures
28119,"Ostectomy, calcaneus",Surgeries & Procedures
49651,"Laparoscopy, surgical",Surgeries & Procedures
43254,Esophagogastroduodenoscopy,Gastroenterology Procedures
43264,Endoscopic Retrograde Cholangiopancreatography ERCP,Gastroenterology Procedures
57283,"Colpopexy, vaginal",Surgeries & Procedures
55815,"Prostatectomy, perineal radical",Surgeries & Procedures
64585,Neurostimulator Procedures on the Peripheral Nerves,Surgeries & Procedures
C9740,"Cystourethroscopy, with insertion of transprostatic implant 4 or more implants",Surgeries & Procedures
49613,"Repair of anterior abdominal hernias ie, epigastric, incisional, ventral, umbilical, spigelian, any approach ie, open, laparoscopic, robotic, recurrent",Surgeries & Procedures
24366,"Arthroplasty, radial head",Surgeries & Procedures
43270,Esophagogastroduodenoscopy,Gastroenterology Procedures
15823,"Blepharoplasty, upper eyelid",Surgeries & Procedures
28008,Incision Procedures on the Foot and Toes,Surgeries & Procedures
31541,"Laryngoscopy, direct, operative, with excision of tumor andor stripping of vocal cords or epiglottis",Surgeries & Procedures
26615,Fracture andor Dislocation Procedures on the Hand and Fingers,Surgeries & Procedures
10140,"Incision and Drainage Procedures on the Skin, Subcutaneous and Accessory Structures",Surgeries & Procedures
52234,"Cystourethroscopy, with fulguration andor resection",Surgeries & Procedures
27828,"Open treatment of fracture of weight bearing articular surfaceportion of distal tibia eg, pilon or tibial plafond, with internal fixation, when performed",Surgeries & Procedures
43247,Esophagogastroduodenoscopy,Gastroenterology Procedures
28292,"Correction, hallux valgus bunionectomy, with sesamoidectomy",Surgeries & Procedures
46270,Surgical treatment of anal fistula fistulectomyfistulotomy,Surgeries & Procedures
25111,"Excision of ganglion, wrist dorsal or volar",Surgeries & Procedures
28750,"Arthrodesis, great toe",Surgeries & Procedures
29898,"Arthroscopy, ankle tibiotalar and fibulotalar joints, surgical",Surgeries & Procedures
49329,"Laparoscopic Procedures on the Abdomen, Peritoneum, and Omentum",Surgeries & Procedures
43262,Endoscopic Retrograde Cholangiopancreatography ERCP,Gastroenterology Procedures
23585,Fracture andor Dislocation Procedures on the Shoulder,Surgeries & Procedures
52287,Urethra and Bladder Transurethral Surgical Procedures,Surgeries & Procedures
76872,"Ultrasound, transrectal",Imaging & Radiology
28820,"Amputation, toe",Surgeries & Procedures
92978,Coronary Therapeutic Services and Procedures,Cardiovascular Procedures
51720,Introduction Procedures on the Bladder,Surgeries & Procedures
36590,Removal of Central Venous Access Device,Surgeries & Procedures
30465,Repair Procedures on the Nose,Surgeries & Procedures
11772,Excision of pilonidal cyst or sinus,Surgeries & Procedures
49587,"Deprecated, Deleted, or Otherwise Missing Code Name",Other
20100,Exploration of penetrating wound separate procedure,Other
44238,Other Laparoscopic Procedures on the Intestines Except Rectum,Surgeries & Procedures
36902,Dialysis Circuit,Surgeries & Procedures
49507,"Repair initial inguinal hernia, age 5 years or older",Surgeries & Procedures
29916,"Arthroscopy, hip, surgical",Surgeries & Procedures
69642,"Tympanoplasty with mastoidectomy including canalplasty, middle ear surgery, tympanic membrane repair",Surgeries & Procedures
52630,Transurethral resection,Surgeries & Procedures
42415,Excision of parotid tumor or parotid gland,Surgeries & Procedures
46221,Excision Procedures on the Anus,Surgeries & Procedures
23470,"Arthroplasty, glenohumeral joint",Surgeries & Procedures
26531,"Arthroplasty, metacarpophalangeal joint",Surgeries & Procedures
36904,Dialysis Circuit,Surgeries & Procedures
27428,"Ligamentous reconstruction augmentation, knee",Surgeries & Procedures
31535,"Laryngoscopy, direct, operative, with biopsy",Surgeries & Procedures
27299,Other Procedures on the Pelvis or Hip Joint,Surgeries & Procedures
59151,Laparoscopic treatment of ectopic pregnancy,Surgeries & Procedures
50715,Repair Procedures on the Ureter,Surgeries & Procedures
27685,"Lengthening or shortening of tendon, leg or ankle",Surgeries & Procedures
64581,Open implantation of neurostimulator electrode array,Surgeries & Procedures
14061,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears andor lips",Surgeries & Procedures
54161,"Circumcision, surgical excision other than clamp, device, or dorsal slit",Surgeries & Procedures
27438,"Arthroplasty, patella",Surgeries & Procedures
27827,"Open treatment of fracture of weight bearing articular surfaceportion of distal tibia eg, pilon or tibial plafond, with internal fixation, when performed",Surgeries & Procedures
25400,"Repair of nonunion or malunion, radius OR ulna",Surgeries & Procedures
23473,"Repair, Revision, andor Reconstruction Procedures on the Shoulder",Surgeries & Procedures
11771,Excision of pilonidal cyst or sinus,Surgeries & Procedures
54520,Excision Procedures on the Testis,Surgeries & Procedures
29915,"Arthroscopy, hip, surgical",Surgeries & Procedures
46260,"Hemorrhoidectomy, internal and external, 2 or more columnsgroups",Surgeries & Procedures
57250,Repair Procedures on the Vagina,Surgeries & Procedures
49322,"Laparoscopy, surgical",Surgeries & Procedures
54530,"Orchiectomy, radical, for tumor",Oncology & Cancer Treatment
31627,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed",Surgeries & Procedures
29875,"Arthroscopy, knee, surgical",Surgeries & Procedures
45390,"Colonoscopy, flexible, proximal to splenic flexure",Gastroenterology Procedures
22514,Percutaneous vertebral augmentation,Surgeries & Procedures
19350,Repair andor Reconstruction Procedures on the Breast,Surgeries & Procedures
27758,Fracture andor Dislocation Procedures on the Leg Tibia and Fibula and Ankle Joint,Surgeries & Procedures
13122,"Repair, complex, scalp, arms, andor legs",Surgeries & Procedures
52442,Vesical Neck and Prostate Surgical Procedures,Surgeries & Procedures
19302,"Mastectomy, partial eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy",Surgeries & Procedures
49560,"Deprecated, Deleted, or Otherwise Missing Code Name",Other
45990,Other Procedures on the Colon and Rectum,Gastroenterology Procedures
74300,Cholangiography andor pancreatography,Gastroenterology Procedures
29823,"Arthroscopy, shoulder, surgical",Surgeries & Procedures
43260,Endoscopic Retrograde Cholangiopancreatography ERCP,Gastroenterology Procedures
24586,Open treatment of periarticular fracture andor dislocation of the elbow fracture distal humerus and proximal ulna andor proximal radius,Surgeries & Procedures
27536,"Open treatment of tibial fracture, proximal plateau",Surgeries & Procedures
29855,"Arthroscopically aided treatment of tibial fracture, proximal plateau",Surgeries & Procedures
24516,Fracture andor Dislocation Procedures on the Humerus Upper Arm and Elbow,Surgeries & Procedures
45384,"Colonoscopy, flexible, proximal to splenic flexure",Gastroenterology Procedures
43242,Esophagogastroduodenoscopy,Gastroenterology Procedures
27687,"Repair, Revision, andor Reconstruction Procedures on the Leg Tibia and Fibula and Ankle Joint",Surgeries & Procedures
49324,"Laparoscopy, surgical",Surgeries & Procedures
93458,"Catheter placement in coronary arterys for coronary angiography, including intraprocedural injections for coronary angiography",Cardiovascular Procedures
23630,Fracture andor Dislocation Procedures on the Shoulder,Surgeries & Procedures
14040,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands andor feet",Surgeries & Procedures
28740,Arthrodesis Procedures on the Foot and Toes,Surgeries & Procedures
55040,Excision of hydrocele,Surgeries & Procedures
43282,"Laparoscopy, surgical, repair of paraesophageal hernia, includes fundoplasty, when performed",Surgeries & Procedures
19325,Repair andor Reconstruction Procedures on the Breast,Surgeries & Procedures
49520,"Repair recurrent inguinal hernia, any age",Surgeries & Procedures
52260,"Cystourethroscopy, with dilation of bladder for interstitial cystitis",Surgeries & Procedures
11750,"Excision of nail and nail matrix, partial or complete eg, ingrown or deformed nail, for permanent removal",Surgeries & Procedures
19328,Repair andor Reconstruction Procedures on the Breast,Surgeries & Procedures
62350,"Implantation, revision or repositioning of tunneled intrathecal or epidural catheter, for longterm medication administration via an external pump or implantable reservoirinfusion pump",Surgeries & Procedures
62362,Implantation or replacement of device for intrathecal or epidural drug infusion,Surgeries & Procedures
23420,"Repair, Revision, andor Reconstruction Procedures on the Shoulder",Surgeries & Procedures
43244,Esophagogastroduodenoscopy,Gastroenterology Procedures
51700,Introduction Procedures on the Bladder,Surgeries & Procedures
11606,"Excision, malignant lesion including margins, trunk, arms, or legs",Surgeries & Procedures
43236,Esophagogastroduodenoscopy,Gastroenterology Procedures
38120,Laparoscopic Procedures on the Spleen,Surgeries & Procedures
19370,Repair andor Reconstruction Procedures on the Breast,Surgeries & Procedures
28725,Arthrodesis,Surgeries & Procedures
57200,Repair Procedures on the Vagina,Surgeries & Procedures
11400,"Excision, benign lesion including margins, except skin tag unless listed elsewhere, trunk, arms or legs",Surgeries & Procedures
57265,Combined anteroposterior colporrhaphy,Surgeries & Procedures
11970,Introduction or Removal Procedures on the Integumentary System,Surgeries & Procedures
23412,"Repair of ruptured musculotendinous cuff eg, rotator cuff open",Surgeries & Procedures
60260,Excision Procedures on the Thyroid Gland,Surgeries & Procedures
49655,"Deprecated, Deleted, or Otherwise Missing Code Name",Other
25000,Incision Procedures on the Forearm and Wrist,Surgeries & Procedures
27380,Suture of infrapatellar tendon,Surgeries & Procedures
24685,Fracture andor Dislocation Procedures on the Humerus Upper Arm and Elbow,Surgeries & Procedures
17110,"Destruction eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement, of benign lesions other than skin tags or cutaneous vascular proliferative lesions",Surgeries & Procedures
11440,"Excision, other benign lesion including margins, except skin tag unless listed elsewhere, face, ears, eyelids, nose, lips, mucous membrane",Surgeries & Procedures
J7120,"Ringers lactate infusion, up to 1000 cc",Pharmacotherapy & Drug Administration
35371,"Thromboendarterectomy, including patch graft, if performed",Cardiovascular Procedures
67900,"Repair Brow Ptosis, Blepharoptosis, Lid Retraction, Ectropion, Entropion Procedures on the Eyelids",Surgeries & Procedures
11401,"Excision, benign lesion including margins, except skin tag unless listed elsewhere, trunk, arms or legs",Surgeries & Procedures
11043,"Debridement, muscle andor fascia includes epidermis, dermis, and subcutaneous tissue, if performed",Surgeries & Procedures
58572,"Laparoscopy, surgical, with total hysterectomy, for uterus greater than 250 g",Surgeries & Procedures
60210,"Partial thyroid lobectomy, unilateral",Surgeries & Procedures
27784,Fracture andor Dislocation Procedures on the Leg Tibia and Fibula and Ankle Joint,Surgeries & Procedures
24105,Excision Procedures on the Humerus Upper Arm and Elbow,Surgeries & Procedures
15260,"Full Thickness Graft, Free",Surgeries & Procedures
69205,Removal foreign body from external auditory canal,Surgeries & Procedures
28415,"Open treatment of calcaneal fracture, includes internal fixation, when performed",Surgeries & Procedures
43246,Esophagogastroduodenoscopy,Gastroenterology Procedures
11646,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips",Surgeries & Procedures
29825,"Arthroscopy, shoulder, surgical",Surgeries & Procedures
58542,"Laparoscopy, surgical, supracervical hysterectomy, for uterus 250 g or less",Surgeries & Procedures
15120,AutograftsTissue Cultured Autograft,Surgeries & Procedures
66982,Intraocular Lens Procedures,Surgeries & Procedures
43255,Esophagogastroduodenoscopy,Gastroenterology Procedures
28445,Fracture andor Dislocation Procedures on the Foot and Toes,Surgeries & Procedures
31259,"Nasalsinus endoscopy, surgical",Surgeries & Procedures
29848,EndoscopyArthroscopy Procedures on the Musculoskeletal System,Surgeries & Procedures
49568,"Deprecated, Deleted, or Otherwise Missing Code Name",Other
29856,"Arthroscopically aided treatment of tibial fracture, proximal plateau",Surgeries & Procedures
29838,"Arthroscopy, elbow, surgical",Surgeries & Procedures
28476,Fracture andor Dislocation Procedures on the Foot and Toes,Surgeries & Procedures
39402,Endoscopy Procedures on the Mediastinum,Surgeries & Procedures
31625,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed",Surgeries & Procedures
13152,"Repair, complex, eyelids, nose, ears andor lips",Surgeries & Procedures
52354,"Cystourethroscopy, with ureteroscopy andor pyeloscopy",Laboratory & Diagnostic Tests
42420,Excision of parotid tumor or parotid gland,Surgeries & Procedures
11404,"Excision, benign lesion including margins, except skin tag unless listed elsewhere, trunk, arms or legs",Surgeries & Procedures
69706,"Nasopharyngoscopy, surgical, with dilation of eustachian tube ie, balloon dilation",Surgeries & Procedures
